"Licence Number","Licence Description","Licence Type","Licence Status","Licensee","Additional Licensee","Trading Name","Dtf Location","Start Date","Expiry Date","Council Area","Postcode","longitude","latitude"
13714,"Licensing Act 2003","Premises Licence","Surrendered","Miss Natalja Repiach",NA,"Wynata","2 High Street, LITTLEHAMPTON, West Sussex, BN17 5EE","20/05/2015",NA,"Arun","BN17 5EE",-0.544295,50.809546
13748,"Licensing Act 2003","Premises Licence","Granted","The Gravy Boat Limited",NA,"The Gravy Boat","46 Pier Road, LITTLEHAMPTON, West Sussex, BN17 5LW","06/05/2015",NA,NA,"BN17 5LW",-0.542925,50.806292
13780,"Licensing Act 2003","Premises Licence","Surrendered","Mccoll Ltd",NA,"Mccolls","1, AVISFORD TERRACE, Rose Green Road, Aldwick, BOGNOR REGIS, West Sussex, PO21 3HB","04/07/2016",NA,"Arun","PO21 3HB",-0.715285,50.785736
13980,"Licensing Act 2003","Premises Licence","Granted","Mr Barzan Aubid",NA,"Baltic","3 Richmond Road, Bognor Regis, West Sussex, PO21 1BU","14/10/2015",NA,"Arun","PO21 1BU",-0.675927,50.78642
14035,"Licensing Act 2003","Premises Licence","Granted","The Contented Pig Pub Co Ltd",NA,"Littlehampton Brewery","THE TAP AND BARREL, Duke Street, LITTLEHAMPTON, West Sussex, BN17 6EU","14/08/2015",NA,NA,"BN17 6EU",-0.542453,50.810045
14162,"Licensing Act 2003","Premises Licence","Granted","Gusto Wines Ltd",NA,"Gusto Wines Ltd","UNIT 6, FORD LANE BUSINESS PARK, Ford Lane, Ford, ARUNDEL, West Sussex, BN18 0UZ","23/10/2015",NA,NA,"BN18 0UZ",-0.587374,50.826146
14792,"Licensing Act 2003","Premises Licence","Granted","The Seriously Good Pub Company Ltd",NA,"The Burger Shop","14 High Street, Arundel, West Sussex, BN18 9AF","17/08/2016",NA,"Arun","BN18 9AF",-0.553723,50.85448
15093,"Licensing Act 2003","Premises Licence","Granted","Mr Kamyab Sahraee",NA,"Premier Wishfield","1 Wood Hill Way, Felpham, BOGNOR REGIS, West Sussex, PO22 8GJ","17/01/2017",NA,"Arun","PO22 8GJ",-0.642117,50.798531
15150,"Licensing Act 2003","Premises Licence","Granted","Mr Ali Celik",NA,"Bahar Kebab & Pizza","25 Surrey Street, LITTLEHAMPTON, West Sussex, BN17 5BD","10/02/2017",NA,NA,"BN17 5BD",-0.54361,50.808755
15373,"Licensing Act 2003","Premises Licence","Surrendered","Green Food Market Ltd",NA,"Green Food Market","33 Chichester Road, BOGNOR REGIS, West Sussex, PO21 2XH","02/06/2017",NA,"Arun","PO21 2XH",-0.677699,50.792987
15652,"Licensing Act 2003","Premises Licence","Suspended","Mr Ricardo Faidiga",NA,"Tropical Gourmet","48A High Street, Littlehampton, West Sussex, BN17 5ED","25/09/2017",NA,"Arun","BN17 5ED",-0.54285,50.809456
15692,"Licensing Act 2003","Premises Licence","Lapsed","Sauropods - The Vegetarian & Vegan Hamper Company Ltd",NA,"Sauropods - Vegan & Vegetarian Hamper Company Ltd","3 Highdown Drive, LITTLEHAMPTON, West Sussex, BN17 6HJ","01/11/2017",NA,"Arun","BN17 6HJ",-0.538102,50.814244
15763,"Licensing Act 2003","Premises Licence","Granted","Mr David R Bees & Siobhan M Bees",NA,"2 Suns","5 Biscay Close, LITTLEHAMPTON, West Sussex, BN17 6SW","23/10/2017",NA,"Arun","BN17 6SW",-0.517322,50.81641
15780,"Licensing Act 2003","Premises Licence","Granted","Mr William Richard Cole",NA,"Bognor Regis Visitor Centre","TOURIST INFORMATION CENTRE, 1 - 2, PLACE ST MAUR DES FOSSES, Belmont Street, BOGNOR REGIS, West Sussex, PO21 1BJ","24/11/2017",NA,NA,"PO21 1BJ",-0.672601,50.782632
15781,"Licensing Act 2003","Premises Licence","Granted","Mr Val St John Capon",NA,"Selden Farm B & B","SELDEN BARNS, SELDEN FARM, Selden Lane, Patching, WORTHING, West Sussex, BN13 3UL","15/12/2017",NA,NA,"BN13 3UL",-0.472607,50.844325
16127,"Licensing Act 2003","Premises Licence","Granted","Just Burgers Ltd",NA,"Burgers & Dogs","51 Pier Road, LITTLEHAMPTON, West Sussex, BN17 5LP","07/03/2018",NA,"Arun","BN17 5LP",-0.542748,50.805138
16131,"Licensing Act 2003","Premises Licence","Granted","Friends Of Arundel Castle Cricket Club Ltd",NA,"Friends Of Arundel Castle Cricket Club","ARUNDEL CASTLE CRICKET GROUND, ARUNDEL CASTLE, London Road, Arundel, West Sussex","07/03/2018",NA,"Arun","West Sussex",NA,NA
16165,"Licensing Act 2003","Premises Licence","Granted","Mr Mustafa Sen",NA,"T Bone Burger Restaurant","19 High Street, Bognor Regis, West Sussex, PO21 1RJ","21/03/2018",NA,"Arun","PO21 1RJ",-0.672108,50.783507
16319,"Licensing Act 2003","Premises Licence","Granted","Denmans Anew Ltd",NA,"Denmans Anew Ltd","DENMANS GARDENS, Denmans Lane, Fontwell, West Sussex","05/05/2018",NA,NA,"West Sussex",NA,NA
16433,"Licensing Act 2003","Premises Licence","Granted","Grub And Gumption Limited",NA,"Grub And Gumption","126 Sea Road, East Preston, Littlehampton, West Sussex, BN16 1NN","01/07/2018",NA,NA,"BN16 1NN",-0.48183,50.805117
16462,"Licensing Act 2003","Premises Licence","Surrendered","Benjamin James & Kerry Fiona Allard",NA,"Fusion Beach Bar","STREET RECORD, The Esplanade, Bognor Regis, West Sussex","20/06/2018",NA,"Arun","West Sussex",NA,NA
14837,"Licensing Act 2003","Premises Licence","Granted","Marston's Plc",NA,"Charlie Purley (Marston's)","THE CHARLIE PURLEY UNIT 2, RAILSIDE RETAIL PARK, Shripney Road, BOGNOR REGIS, West Sussex, PO22 9FL","03/10/2018",NA,"Arun","PO22 9FL",-0.66367,50.799598
15661,"Licensing Act 2003","Premises Licence","Granted","Broomer Farm Trading Ltd",NA,"The Boathouse","Boathouse Cafe, Littlehampton Marina, Ferry Road, Littlehampton, West Sussex, BN17 5DS","26/10/2018",NA,NA,"BN17 5DS",-0.555577,50.810217
7107,"Licensing Act 2003","Premises Licence","Granted","Arun Arts Company Limited",NA,"The Alexandra","REGIS CENTRE, Belmont Street, BOGNOR REGIS, West Sussex, PO21 1BL","17/10/2018",NA,"Arun","PO21 1BL",-0.671835,50.782641
6709,"Licensing Act 2003","Premises Licence","Granted","Miss L Macari & Mrs M Macari",NA,"Fino Restaurant","3 Flansham Lane, Felpham, BOGNOR REGIS, West Sussex, PO22 6AA","03/04/2019",NA,"Arun","PO22 6AA",-0.63785,50.79474
12584,"Licensing Act 2003","Premises Licence","Granted","Miss A C H Andrade & Mr B M R Agrela",NA,"Aserio","14 Beach Road, Littlehampton, West Sussex, BN17 5HT","15/11/2018",NA,NA,"BN17 5HT",-0.540335,50.808625
14482,"Licensing Act 2003","Premises Licence","Granted","Mrs Jurgita Skirmantiene",NA,"European Mini Market","5 Canada Grove, BOGNOR REGIS, West Sussex, PO21 1DW","17/09/2018",NA,"Arun","PO21 1DW",-0.677793,50.785379
14482,"Licensing Act 2003","Premises Licence","Granted","Mrs Jurgita Skirmantiene",NA,"European Mini Market","5 Canada Grove, BOGNOR REGIS, West Sussex, PO21 1DW","17/09/2018",NA,"Arun","PO21 1DW",-0.677793,50.785379
14482,"Licensing Act 2003","Premises Licence","Granted","Mrs Jurgita Skirmantiene",NA,"European Mini Market","5 Canada Grove, BOGNOR REGIS, West Sussex, PO21 1DW","17/09/2018",NA,"Arun","PO21 1DW",-0.677793,50.785379
111341,"Licensing Act 2003","Premises Licence","Granted","Pagham Cricket Club",NA,"Pagham Cricket Club","PAGHAM SPORTS GROUND, Nyetimber Lane, Pagham, BOGNOR REGIS, West Sussex, PO21 3JY","11/01/2019",NA,"Arun","PO21 3JY",-0.735324,50.779111
7016,"Licensing Act 2003","Premises Licence","Granted","Mitchells and Butlers Leisure Retail Limited",NA,"The Old Stables","THE OLD STABLES VINTAGE INN, Fontwell Avenue, Eastergate, ARUNDEL, West Sussex, BN18 0SY","14/02/2019",NA,"Arun","BN18 0SY",-0.651874,50.855201
111385,"Licensing Act 2003","Premises Licence","Granted","The Aldingbourne Trust",NA,"Aldingbourne Country Centre","Aldingbourne Country Centre, Blackmill Lane, Aldingbourne, Chichester, West Sussex, PO18 0JP","13/08/2018",NA,"Arun","PO18 0JP",-0.677288,50.856563
6794,"Licensing Act 2003","Premises Licence","Suspended","East And West Taverns Ltd",NA,"Tudor Close Public House & Restaurant","TUDOR CLOSE, Ferringham Lane, Ferring, WORTHING, West Sussex, BN12 5NQ","11/01/2019",NA,"Arun","BN12 5NQ",-0.451475,50.80676
6492,"Licensing Act 2003","Premises Licence","Granted","Mr Shaun Alexander Mustard",NA,"Mustard Restaurants Ltd","8 - 10 York Road, Bognor Regis, West Sussex, PO21 1LW","16/11/2018",NA,"Arun","PO21 1LW",-0.672822,50.783074
6723,"Licensing Act 2003","Premises Licence","Granted","Mr Daksheshkumar Jagdishbhai Patel",NA,"Tudor Newsagency & Store","2, TUDOR BUILDINGS, Aldwick Street, Aldwick, BOGNOR REGIS, West Sussex, PO21 3AW","14/08/2018",NA,"Arun","PO21 3AW",-0.705312,50.781084
8520,"Licensing Act 2003","Premises Licence","Granted","Miss Elizabeth Court","Mr Matthew John Ward","West Beach Cafe","Kiosk West Beach, Rope Walk, Littlehampton, West Sussex, BN17 5DL","17/01/2019",NA,"Arun","BN17 5DL",-0.545176,50.806032
6936,"Licensing Act 2003","Premises Licence","Granted","Mrs Kathryn Anne Bennett",NA,"Priory Playhouse","THE PLAYHOUSE, ARUNDEL PRIORY, 2, London Road, ARUNDEL, West Sussex, BN18 9FA","08/09/2020",NA,"Arun","BN18 9FA",-0.556517,50.855527
5874,"Licensing Act 2003","Premises Licence","Granted","Ms Veronica Smith","Mr Mike Lewis","Aldwick Rooms and Restaurant","ALDWICK HOTEL, 25 Princess Avenue, Aldwick, BOGNOR REGIS, West Sussex, PO21 2QU","25/01/2019",NA,"Arun","PO21 2QU",-0.69018,50.782003
6336,"Licensing Act 2003","Premises Licence","Granted","Tower Snooker Club (Littlehampton) Limited",NA,"Coco Lounge","8 - 10 Clifton Road, LITTLEHAMPTON, West Sussex, BN17 5AS","03/02/2019",NA,"Arun","BN17 5AS",-0.542026,50.808727
14754,"Licensing Act 2003","Premises Licence","Surrendered","Mr George Kendall",NA,"Whisky Vault Auctions Ltd","OFFICE 2, ROPE HOUSE, Rope Walk, LITTLEHAMPTON, West Sussex, BN17 5DE","03/04/2019",NA,"Arun","BN17 5DE",-0.549126,50.808626
6911,"Licensing Act 2003","Premises Licence","Granted","Tesco Stores Limited",NA,"Tesco Express","82 - 84 Aldwick Road, BOGNOR REGIS, West Sussex, PO21 2PE","04/03/2019",NA,"Arun","PO21 2PE",-0.686312,50.781599
11612,"Licensing Act 2003","Premises Licence","Granted","Mr Satinder Pal Singh",NA,"Capital News","13 High Street, Littlehampton, West Sussex, BN17 5EG","20/06/2019",NA,"Arun","BN17 5EG",-0.543474,50.809923
10628,"Licensing Act 2003","Premises Licence","Granted","Haven Leisure Ltd",NA,"Church Farm Holiday Village","CHURCH FARM HOLIDAY VILLAGE, Church Lane, Pagham, BOGNOR REGIS, West Sussex, PO21 4NR","08/03/2019",NA,"Arun","PO21 4NR",-0.744965,50.770249
13401,"Licensing Act 2003","Premises Licence","Granted","Marks & Spencer Simply Food Ltd",NA,"Marks & Spencer Simply Food","UNIT D, ARUN RETAIL PARK, Shripney Road, BOGNOR REGIS, West Sussex, PO22 9NF","17/04/2019",NA,"Arun","PO22 9NF",-0.667151,50.798685
6825,"Licensing Act 2003","Premises Licence","Granted","Rishi Stores Limited",NA,"The Newsbox","SOUTH BERSTED STORES AND POST OFFICE, 62, Gordon Avenue, BOGNOR REGIS, West Sussex, PO22 9LS","02/04/2019",NA,"Arun","PO22 9LS",-0.672168,50.793148
6463,"Licensing Act 2003","Premises Licence","Granted","Eastergate Parish Hall Management",NA,"Eastergate Parish Hall","EASTERGATE VILLAGE PARISH HALL, Barnham Road, Eastergate, CHICHESTER, West Sussex, PO20 3RP","24/05/2019",NA,"Arun","PO20 3RP",-0.657769,50.841375
6686,"Licensing Act 2003","Premises Licence","Granted","Bailiffscourt Limited",NA,"Black Horse Inn","BLACK HORSE INN, Climping Street, Climping, LITTLEHAMPTON, West Sussex, BN17 5RL","24/05/2019",NA,"Arun","BN17 5RL",-0.578886,50.802482
8783,"Licensing Act 2003","Premises Licence","Granted","Mr Syed Bably Ahmed",NA,"Masala Lounge","27 Sea Road, East Preston, LITTLEHAMPTON, West Sussex, BN16 1JN","18/04/2019",NA,"Arun","BN16 1JN",-0.48049,50.810109
14179,"Licensing Act 2003","Premises Licence","Granted","Barnham and Eastergate Community Trust",NA,"Barnham Community Hall","BARNHAM COMMUNITY HALL, Yapton Road, Barnham, BOGNOR REGIS, West Sussex, PO22 0AY","06/05/2019",NA,"Arun","PO22 0AY",-0.634887,50.828726
6810,"Licensing Act 2003","Premises Licence","Granted","Picturedrome Electric Theatre Company Ltd",NA,"Picturedrome Cinema","PICTUREDROME CINEMA, 51, Canada Grove, BOGNOR REGIS, West Sussex, PO21 1DW","27/04/2019",NA,"Arun","PO21 1DW",-0.677793,50.785379
6517,"Licensing Act 2003","Premises Licence","Granted","Findon Black Horse Ltd",NA,"Black Horse","BLACK HORSE INN, High Street, Findon, WORTHING, West Sussex, BN14 0SX","08/05/2019",NA,"Arun","BN14 0SX",-0.408717,50.863381
8256,"Licensing Act 2003","Premises Licence","Granted","Mr Habib Akbasli",NA,"Broadmark Cafe Bar","8, Broadmark Parade, Broadmark Lane, Rustington, Littlehampton, West Sussex, BN16 2NE","13/05/2019",NA,"Arun","BN16 2NE",-0.504887,50.810181
9373,"Licensing Act 2003","Premises Licence","Granted","Haven Leisure Ltd",NA,"Church Farm Holiday Village","CHURCH FARM HOLIDAY VILLAGE, Church Lane, Pagham, BOGNOR REGIS, West Sussex, PO21 4NR","24/05/2019",NA,"Arun","PO21 4NR",-0.744965,50.770249
6520,"Licensing Act 2003","Premises Licence","Granted","Le Gouter Limited",NA,"Le Gouter","21 Tarrant Street, Arundel, West Sussex, BN18 9DG","01/07/2019",NA,"Arun","BN18 9DG",-0.555368,50.854092
112340,"Licensing Act 2003","Premises Licence","Granted","Zapp Trading UK Ltd",NA,"Campus & Co (Zapp Trading Ltd)","STREET RECORD, Nyton Road, Aldingbourne, West Sussex","18/07/2019",NA,"Arun","West Sussex",NA,NA
6423,"Licensing Act 2003","Premises Licence","Granted","Mr A Jones",NA,"Henty Arms","HENTY ARMS, 2, Ferring Lane, Ferring, WORTHING, West Sussex, BN12 6QY","07/09/2017",NA,"Arun","BN12 6QY",-0.445965,50.817541
6431,"Licensing Act 2003","Premises Licence","Granted","Mr Bashir Ahamed",NA,"Peri Peri House","10 - 12 Waterloo Square, BOGNOR REGIS, West Sussex, PO21 1SU","16/08/2019",NA,"Arun","PO21 1SU",-0.675576,50.782503
6557,"Licensing Act 2003","Premises Licence","Granted","Quick Marketing Ltd",NA,"Hothampton Arms","THE HOTHAMPTON ARMS, 49, London Road, BOGNOR REGIS, West Sussex, PO21 1PR","18/07/2019",NA,"Arun","PO21 1PR",-0.674239,50.786148
14483,"Licensing Act 2003","Premises Licence","Granted","Mr Peter Geoffrey Garrett",NA,"The Bluebird Cafe","THE BLUEBIRD CAFE, South Drive, Ferring, WORTHING, West Sussex, BN12 5QU","15/08/2019",NA,"Arun","BN12 5QU",-0.450403,50.803562
6699,"Licensing Act 2003","Premises Licence","Granted","Hall and Woodhouse Ltd",NA,"The Lion","LION HOTEL, Nyetimber Lane, Pagham, BOGNOR REGIS, West Sussex, PO21 3JX","07/08/2019",NA,"Arun","PO21 3JX",-0.734995,50.779737
6594,"Licensing Act 2003","Premises Licence","Granted","Mr Abdul Wadud",NA,"Spice Paradise","6 The Parade, Pagham, Bognor Regis, West Sussex, PO21 4TW","15/10/2019",NA,"Arun","PO21 4TW",-0.73854,50.770279
13165,"Licensing Act 2003","Premises Licence","Granted","Surplus Property Investments Limited",NA,NA,"THE SHIP INN, Aldwick Street, Aldwick, BOGNOR REGIS, West Sussex, PO21 3AP","04/09/2020",NA,"Arun","PO21 3AP",-0.705509,50.781454
6539,"Licensing Act 2003","Premises Licence","Suspended","Mr Gurmej Singh Athwal",NA,"Aldingbourne Post Office","SHOP AROUND THE CLOCK AND ALDINGBOURNE POST OFFICE, Westergate Street, Westergate, CHICHESTER, West Sussex, PO20 3QL","24/11/2005",NA,"Arun","PO20 3QL",-0.669805,50.832169
6608,"Licensing Act 2003","Premises Licence","Granted","Punch Taverns Ltd",NA,"The Wilkes Head Ltd","THE WILKES HEAD, Church Lane, Eastergate, CHICHESTER, West Sussex, PO20 3UT","10/09/2019",NA,"Arun","PO20 3UT",-0.660931,50.839577
6968,"Licensing Act 2003","Premises Licence","Granted","William Kebab Ltd",NA,"Istanbul Grill","10 High Street, BOGNOR REGIS, West Sussex, PO21 1SR","11/09/2019",NA,"Arun","PO21 1SR",-0.672488,50.784123
8312,"Licensing Act 2003","Premises Licence","Granted","Mr Manickavasakar Mayuran",NA,"Wick Parade Mini Market","3, Wick Parade, Wick Street, Littlehampton, West Sussex, BN17 7JQ","17/09/2019",NA,"Arun","BN17 7JQ",-0.544686,50.819336
8790,"Licensing Act 2003","Premises Licence","Granted","Mr Mateusz Zurek",NA,"Minutka Polish Shop","1 Longford Road, BOGNOR REGIS, West Sussex, PO21 1AA","27/03/2019",NA,"Arun","PO21 1AA",-0.677056,50.787134
8753,"Licensing Act 2003","Premises Licence","Granted","Mrs Toksin Afsa",NA,"Little Magna Tandoori","22 High Street, LITTLEHAMPTON, West Sussex, BN17 5EE","05/11/2019",NA,"Arun","BN17 5EE",-0.544295,50.809546
13828,"Licensing Act 2003","Premises Licence","Granted","Waitrose Ltd",NA,"Waitrose","1 - 3 Broadmark Lane, Rustington, Littlehampton, West Sussex, BN16 2NE","25/10/2019",NA,"Arun","BN16 2NE",-0.504887,50.810181
14829,"Licensing Act 2003","Premises Licence","Suspended","Mrs Tracey J Eley",NA,"Middleton Cafe","132 Middleton Road, Middleton-on-sea, BOGNOR REGIS, West Sussex, PO22 6DB","02/09/2016",NA,"Arun","PO22 6DB",-0.622924,50.794223
113021,"Licensing Act 2003","Premises Licence","Granted","Mr Satbir Singh Dhajan",NA,"Arcade Lounge","8 - 10 Arcade Road, Littlehampton, West Sussex, BN17 5AP","09/12/2019",NA,"Arun","BN17 5AP",-0.540779,50.808675
112276,"Licensing Act 2003","Premises Licence","Granted","Ham Manor Golf Club Ltd",NA,"Ham Manor Golf Club","HAM MANOR GOLF CLUB, West Drive, Angmering, LITTLEHAMPTON, West Sussex, BN16 4JE","22/11/2019",NA,"Arun","BN16 4JE",-0.498642,50.822583
113160,"Licensing Act 2003","Premises Licence","Granted","Mrs Alison Dorian Cockburn",NA,"Cockburn's Tearooms","43 High Street, Arundel, West Sussex, BN18 9AG","06/01/2020",NA,"Arun","BN18 9AG",-0.554072,50.854193
15156,"Licensing Act 2003","Premises Licence","Granted","Aldi Stores Ltd",NA,"Aldi","UNIT 3, MANOR RETAIL PARK RUSTINGTON BYPASS, Rustington, LITTLEHAMPTON, West Sussex, BN16 3FH","21/11/2019",NA,"Arun","BN16 3FH",-0.504582,50.819414
6636,"Licensing Act 2003","Premises Licence","Granted","Wise Monkeys Ltd",NA,"The Bear Inn","THE BEAR INN, 237, Pagham Road, Pagham, BOGNOR REGIS, West Sussex, PO21 3QB","02/12/2019",NA,"Arun","PO21 3QB",-0.735713,50.780247
12581,"Licensing Act 2003","Premises Licence","Granted","Mr Avneet Singh Saluja",NA,"Rustington Convenience Store","59 - 61 Sea Lane, Rustington, LITTLEHAMPTON, West Sussex, BN16 2RQ","16/12/2019",NA,"Arun","BN16 2RQ",-0.511154,50.808616
11192,"Licensing Act 2003","Premises Licence","Granted","Tesco Stores Limited",NA,"Tesco","351 Chichester Road, Bersted, BOGNOR REGIS, West Sussex, PO21 5AN","09/12/2019",NA,"Arun","PO21 5AN",-0.691879,50.798389
15559,"Licensing Act 2003","Premises Licence","Granted","Lemongrass Arun Ltd",NA,"Lemongrass","50 The Street, Rustington, LITTLEHAMPTON, West Sussex, BN16 3NR","17/01/2020",NA,"Arun","BN16 3NR",-0.510273,50.810871
111238,"Licensing Act 2003","Premises Licence","Granted","Digby Wine Limited",NA,"Digby Fine English","55 - 57 High Street, Arundel, West Sussex, BN18 9AJ","02/01/2019",NA,"Arun","BN18 9AJ",-0.554742,50.854777
6534,"Licensing Act 2003","Premises Licence","Granted","Regency Corporation Limited",NA,"The Eagle","EAGLE INN, 41, Tarrant Street, ARUNDEL, West Sussex, BN18 9DJ","28/01/2020",NA,"Arun","BN18 9DJ",-0.557034,50.85369
6627,"Licensing Act 2003","Premises Licence","Granted","Greene King Retailing Limited",NA,"Prince Of Wales","THE PRINCE OF WALES, Lidsey Road, Woodgate, CHICHESTER, West Sussex, PO20 3ST","11/02/2020",NA,"Arun","PO20 3ST",-0.665143,50.830084
15666,"Licensing Act 2003","Premises Licence","Granted","Savers Health & Beauty Ltd",NA,"Savers Health And Beauty","12 Surrey Street, LITTLEHAMPTON, West Sussex, BN17 5BG","05/02/2018",NA,"Arun","BN17 5BG",-0.54374,50.809297
6488,"Licensing Act 2003","Premises Licence","Granted","Mr Roger James Tester",NA,"The Star and Garter","The Star And Garter, 3, The Steyne, Bognor Regis, West Sussex, PO21 1TX","26/03/2020",NA,"Arun","PO21 1TX",-0.678316,50.78168
6613,"Licensing Act 2003","Premises Licence","Granted","Miss Harriet Hislop",NA,"Harriet's","1, CHURCHILL PARADE, The Street, Rustington, LITTLEHAMPTON, West Sussex, BN16 3DJ","02/03/2020",NA,"Arun","BN16 3DJ",-0.507549,50.810818
5841,"Licensing Act 2003","Premises Licence","Granted","John Kuriakose",NA,"Larkins Grocery","35 Tarrant Street, Arundel, West Sussex, BN18 9DG","03/04/2020",NA,"Arun","BN18 9DG",-0.555368,50.854092
113706,"Licensing Act 2003","Premises Licence","Granted","Kevin Fox",NA,"Gin Genie Distillery Ltd","8 Columbine Way, LITTLEHAMPTON, West Sussex, BN17 6UX","22/04/2020",NA,"Arun","BN17 6UX",-0.516489,50.821661
6522,"Licensing Act 2003","Premises Licence","Granted","Beachtown Inns Ltd",NA,"New Inn","NEW INN, 5, Norfolk Road, LITTLEHAMPTON, West Sussex, BN17 5PL","01/04/2020",NA,"Arun","BN17 5PL",-0.532107,50.804403
113728,"Licensing Act 2003","Premises Licence","Granted","The Georgi Fin Rustington Ltd",NA,"The Georgi Fin","106 The Street, Rustington, LITTLEHAMPTON, West Sussex, BN16 3NJ","22/05/2020",NA,"Arun","BN16 3NJ",-0.508785,50.810798
7313,"Licensing Act 2003","Premises Licence","Granted","Arundel Town Council",NA,"Arundel Town Council","Street Record, High Street, Arundel, West Sussex, BN18 9AP","20/06/2020",NA,"Arun","BN18 9AP",-0.555887,50.854791
6819,"Licensing Act 2003","Premises Licence","Granted","Peter & Pauline Glasson",NA,"Spar Nyetimber","211 - 213 Pagham Road, Pagham, BOGNOR REGIS, West Sussex, PO21 3QD","22/04/2020",NA,"Arun","PO21 3QD",-0.736185,50.779255
112223,"Licensing Act 2003","Premises Licence","Granted","The Standard P Ltd",NA,"The Standard P","23 Sea Road, East Preston, LITTLEHAMPTON, West Sussex, BN16 1JN","05/06/2020",NA,"Arun","BN16 1JN",-0.48049,50.810109
6840,"Licensing Act 2003","Premises Licence","Granted","Mr A S Honour & Mrs E M Honour",NA,"The Inglenook Hotel","INGLENOOK HOTEL, 253 - 255, Pagham Road, Pagham, BOGNOR REGIS, West Sussex, PO21 3QB","23/06/2020",NA,"Arun","PO21 3QB",-0.735713,50.780247
6328,"Licensing Act 2003","Premises Licence","Granted","Justin Retail Ltd",NA,"Premier","220 - 222 Chichester Road, Bersted, BOGNOR REGIS, West Sussex, PO21 5BE","27/05/2020",NA,"Arun","PO21 5BE",-0.689835,50.796874
14229,"Licensing Act 2003","Premises Licence","Granted","Mr Roberto Aru",NA,"Ristorante Al Mare","2 The Street, East Preston, LITTLEHAMPTON, West Sussex, BN16 1JJ","12/06/2020",NA,"Arun","BN16 1JJ",-0.48189,50.811143
16369,"Licensing Act 2003","Premises Licence","Granted","The Brewhouse At Arundel Ltd",NA,"The Brewhouse","THE BREWHOUSE, Lyminster Road, Lyminster, West Sussex","14/07/2020",NA,"Arun","West Sussex",NA,NA
9528,"Licensing Act 2003","Premises Licence","Granted","Bognor Pier Leisure Ltd - Club Vision",NA,"Legends Sports Bar & Grill/ Club Sheiks/Club Vision","THE PIER, The Esplanade, BOGNOR REGIS, West Sussex, PO21 1SY","15/07/2020",NA,"Arun","PO21 1SY",-0.676102,50.781483
113863,"Licensing Act 2003","Premises Licence","Granted","Listers Brewery Limited",NA,"Listers Brewery Ltd","LOWER BARPHAM FARMHOUSE, LOWER BARPHAM, Michelgrove Lane, Patching, WORTHING, West Sussex, BN13 3XW","03/08/2020",NA,"Arun","BN13 3XW",-0.478855,50.872653
113864,"Licensing Act 2003","Premises Licence","Granted","Edgcumbe Cafes Limited",NA,"Edge by the Sea","NORFOLK CAFE, NORFOLK GARDENS LEISURE SPORTS SITE, Sea Road, Littlehampton, West Sussex","28/07/2020",NA,"Arun","West Sussex",NA,NA
113895,"Licensing Act 2003","Premises Licence","Granted","Parkers Foodservice LTD",NA,"Parkers Food Service","UNIT X, RUDFORD INDUSTRIAL ESTATE, Ford Road, Ford, ARUNDEL, West Sussex, BN18 0BF","28/08/2020",NA,"Arun","BN18 0BF",-0.584134,50.812896
14191,"Licensing Act 2003","Premises Licence","Granted","Tasca De Felgueiras Ltd",NA,"Your Taste","74 Hawthorn Road, Bognor Regis, West Sussex, PO21 2DD","23/07/2020",NA,"Arun","PO21 2DD",-0.681921,50.792989
114019,"Licensing Act 2003","Premises Licence","Granted","Mr Mark Lehmann",NA,"Goldmark Craft Beers","UNIT, 23, THE VINERY, Arundel Road, Poling, ARUNDEL, West Sussex, BN18 9PY","25/09/2020",NA,"Arun","BN18 9PY",-0.508064,50.840233
6660,"Licensing Act 2003","Premises Licence","Granted","Whitbread Group PLC",NA,"Crossbush Beefeater","PREMIER INN, Crossbush Lane, Crossbush, ARUNDEL, West Sussex, BN18 9PQ","24/08/2020",NA,"Arun","BN18 9PQ",-0.535034,50.844683
16036,"Licensing Act 2003","Premises Licence","Granted","DP & MM Ltd",NA,"Angelina's Bar & Eatery","2 Lennox Street, BOGNOR REGIS, West Sussex, PO21 1LZ","25/08/2020",NA,"Arun","PO21 1LZ",-0.674756,50.782656
6665,"Licensing Act 2003","Premises Licence","Granted","Fuller Smith & Turner PLC",NA,"The Elmer Hotel & Pub","Elmer Hotel, 89, Elmer Road, Middleton-on-sea, Bognor Regis, West Sussex, PO22 6HD","10/09/2020",NA,"Arun","PO22 6HD",-0.610731,50.793413
6516,"Licensing Act 2003","Premises Licence","Granted","Fuller Smith & Turner PLC",NA,"Royal Oak","THE ROYAL OAK INN, Pagham Road, Pagham, CHICHESTER, West Sussex, PO20 1LN","10/09/2020",NA,"Arun","PO20 1LN",-0.730381,50.799813
6565,"Licensing Act 2003","Premises Licence","Granted","Fuller Smith & Turner PLC",NA,"The Swan Hotel","The Swan Hotel, 27 - 29, High Street, Arundel, West Sussex, BN18 9AG","10/09/2020",NA,"Arun","BN18 9AG",-0.554072,50.854193
6542,"Licensing Act 2003","Premises Licence","Granted","Fuller Smith & Turner PLC",NA,"The Tudor Tavern","The Tudor Tavern, 138 - 140, Sea Road, East Preston, Littlehampton, West Sussex, BN16 1NN","10/09/2020",NA,"Arun","BN16 1NN",-0.48183,50.805117
